pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
XAUUSDm,5m,z_revert_1.0,volatility,2.0,2.0,1.0,3335,1485,44.53,3819.03,76.38,38,50
XAUUSDm,5m,pressure_thrust_0.5,custom,2.0,2.0,1.0,2909,1227,42.18,3650.08,73.0,36,50
XAUUSDm,5m,donchian_break_20_k1.0,structure,2.0,2.0,1.0,2826,1187,42.0,3381.14,67.62,32,50
XAUUSDm,5m,z_break_1.2,volatility,2.0,2.0,1.0,2813,1161,41.27,3358.96,67.18,38,50
XAUUSDm,5m,z_revert_1.2,volatility,2.0,2.0,1.0,2830,1275,45.05,3293.11,65.86,39,50
XAUUSDm,5m,rsi_revert_40_60,regime,2.0,2.0,1.0,2449,1156,47.2,3236.63,64.73,40,50
XAUUSDm,5m,rsi_trend_40_60,regime,2.0,2.0,1.0,2441,989,40.52,3061.7,61.23,36,50
XAUUSDm,5m,z_break_1.5,volatility,2.0,2.0,1.0,1972,813,41.23,2656.29,53.13,33,50
XAUUSDm,5m,pressure_thrust_0.65,custom,2.0,2.0,1.0,1926,829,43.04,2640.87,52.82,32,50
XAUUSDm,5m,z_revert_1.5,volatility,2.0,2.0,1.0,1987,908,45.7,2501.34,50.03,35,50
XAUUSDm,5m,donchian_break_20_k0.6,structure,2.0,2.0,1.0,1747,727,41.61,2473.61,49.47,33,50
XAUUSDm,5m,donchian_break_50_k1.0,structure,2.0,2.0,1.0,1548,664,42.89,2426.23,48.52,32,50
XAUUSDm,5m,rsi_trend_35_65,regime,2.0,2.0,1.0,1285,522,40.62,1974.67,39.49,26,50
XAUUSDm,5m,rsi_revert_35_65,regime,2.0,2.0,1.0,1294,602,46.52,1889.49,37.79,32,50
XAUUSDm,5m,pressure_thrust_0.8,custom,2.0,2.0,1.0,1224,522,42.65,1879.09,37.58,29,50
XAUUSDm,5m,donchian_break_50_k0.6,structure,2.0,2.0,1.0,947,411,43.4,1748.03,35.67,30,49
XAUUSDm,5m,donchian_break_20_k0.4,structure,2.0,2.0,1.0,1232,512,41.56,1627.53,32.55,28,50
XAUUSDm,5m,rsi_trend_30_70,regime,2.0,2.0,1.0,566,234,41.34,1138.11,23.23,22,49
XAUUSDm,5m,donchian_break_50_k0.4,structure,2.0,2.0,1.0,651,280,43.01,1102.21,22.49,22,49
XAUUSDm,5m,rsi_revert_30_70,regime,2.0,2.0,1.0,571,258,45.18,1031.5,21.05,17,49
XAUUSDm,5m,engulfing_body_0.2,pattern,2.0,2.0,1.0,796,342,42.96,796.7,17.7,18,45
