pair,timeframe,strategy,direction,entry_ts,exit_ts,entry,exit,qty,pnl,reason
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 13:55:00,2026-01-22 14:00:00,18.56304,18.53593,5.0,-0.17264,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 14:05:00,2026-01-22 14:20:00,18.55126,18.54699,5.0,-0.05843,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 14:25:00,2026-01-22 14:30:00,18.50939,18.49889,5.0,-0.08953,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 14:35:00,2026-01-22 14:40:00,18.45955,18.43714,5.0,-0.14896,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 14:45:00,2026-01-22 15:05:00,18.44731,18.41296,5.0,-0.20862,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 15:30:00,2026-01-22 15:50:00,18.24793,18.26885,5.0,0.06808,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-22 19:05:00,2026-01-22 19:25:00,18.11185,18.19324,5.0,0.37066,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-23 08:25:00,2026-01-23 08:30:00,18.15835,18.17746,5.0,-0.13189,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-23 14:40:00,2026-01-23 14:45:00,17.90181,17.91749,5.0,0.04259,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-23 14:50:00,2026-01-23 15:05:00,17.90117,17.93852,5.0,0.15089,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-24 03:05:00,2026-01-24 03:25:00,17.9747,17.98735,5.0,-0.09919,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-24 06:20:00,2026-01-24 06:45:00,17.9473,17.94353,5.0,-0.05475,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-24 12:15:00,2026-01-24 12:25:00,17.92255,17.92292,5.0,-0.03399,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-24 12:35:00,2026-01-24 12:45:00,17.91607,17.91448,5.0,-0.0438,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-24 14:00:00,2026-01-24 14:05:00,17.88795,17.87877,5.0,-0.08164,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 00:00:00,2026-01-25 00:25:00,17.8583,17.8577,5.0,-0.03872,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 03:35:00,2026-01-25 03:45:00,17.79026,17.79274,5.0,-0.02317,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 06:15:00,2026-01-25 06:30:00,17.75644,17.76601,5.0,0.01232,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 08:40:00,2026-01-25 08:45:00,17.69883,17.66106,5.0,-0.22421,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 08:50:00,2026-01-25 09:35:00,17.66391,17.6898,5.0,0.09409,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 15:55:00,2026-01-25 16:00:00,17.69661,17.69249,5.0,-0.05598,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 16:05:00,2026-01-25 16:10:00,17.66827,17.61827,5.0,-0.28529,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 16:15:00,2026-01-25 16:20:00,17.59511,17.54511,5.0,-0.28514,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 19:25:00,2026-01-25 19:30:00,17.36786,17.29457,5.0,-0.40109,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 19:35:00,2026-01-25 19:45:00,17.30939,17.32481,5.0,0.04246,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-25 23:10:00,2026-01-25 23:15:00,17.16848,17.13911,5.0,-0.18114,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-26 13:25:00,2026-01-26 13:30:00,17.32597,17.32885,5.0,-0.04906,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-26 13:35:00,2026-01-26 14:00:00,17.36173,17.34293,5.0,0.05929,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-26 16:10:00,2026-01-26 16:15:00,17.10091,17.07295,5.0,-0.17395,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-26 19:05:00,2026-01-26 19:15:00,17.49746,17.48671,5.0,0.01875,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-27 05:50:00,2026-01-27 05:55:00,17.40158,17.37356,5.0,-0.17486,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-27 06:00:00,2026-01-27 06:20:00,17.38139,17.37679,5.0,-0.05778,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-27 09:35:00,2026-01-27 09:50:00,17.24892,17.25961,5.0,0.01896,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-27 14:15:00,2026-01-27 14:35:00,17.42236,17.34142,5.0,0.36996,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-28 01:45:00,2026-01-28 02:00:00,17.10777,17.12054,5.0,0.0296,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-28 17:55:00,2026-01-28 18:00:00,17.04242,16.93232,5.0,0.51654,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-28 19:45:00,2026-01-28 19:55:00,16.74455,16.77604,5.0,0.12395,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-28 20:40:00,2026-01-28 20:45:00,16.58849,16.50301,5.0,-0.46047,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-28 20:50:00,2026-01-28 21:00:00,16.49914,16.52746,5.0,0.10856,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-28 23:40:00,2026-01-28 23:45:00,15.99207,16.12555,5.0,0.63528,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-29 08:45:00,2026-01-29 08:50:00,16.04455,15.93724,5.0,0.50454,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-29 15:20:00,2026-01-29 15:25:00,16.01306,16.19003,5.0,-0.91704,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-29 15:30:00,2026-01-29 15:35:00,16.43837,16.65487,5.0,-1.11558,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-29 15:45:00,2026-01-29 16:25:00,16.49573,16.01146,5.0,2.38886,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-30 01:45:00,2026-01-30 02:10:00,15.30827,15.59332,5.0,1.39437,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 02:20:00,2026-01-30 02:55:00,15.86704,15.72233,5.0,0.69195,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 07:05:00,2026-01-30 07:30:00,16.03975,15.99273,5.0,0.20305,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 08:35:00,2026-01-30 09:05:00,16.21959,16.16787,5.0,0.22622,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 09:10:00,2026-01-30 09:20:00,16.31145,16.34183,5.0,-0.18457,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 09:45:00,2026-01-30 09:50:00,16.54456,16.57796,5.0,-0.20015,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 13:25:00,2026-01-30 13:45:00,16.42187,16.47199,5.0,-0.28348,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-30 13:50:00,2026-01-30 14:00:00,16.53469,16.35479,5.0,0.86663,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 06:30:00,2026-01-31 06:45:00,17.0742,17.08186,5.0,0.00414,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 13:35:00,2026-01-31 14:00:00,16.84302,16.91302,5.0,0.31624,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 14:20:00,2026-01-31 14:25:00,16.78857,16.72979,5.0,-0.32742,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 14:30:00,2026-01-31 14:35:00,16.65401,16.57891,5.0,-0.40873,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 14:40:00,2026-01-31 15:00:00,16.54562,16.58125,5.0,0.14505,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-31 17:15:00,2026-01-31 17:30:00,16.09518,16.06959,5.0,-0.1601,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-31 23:25:00,2026-01-31 23:35:00,16.1698,16.1657,5.0,-0.01186,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-02-01 14:30:00,2026-02-01 14:35:00,15.8989,15.84433,5.0,-0.30461,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-02-01 14:40:00,2026-02-01 14:45:00,15.80783,15.90638,5.0,0.46106,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-02-01 15:30:00,2026-02-01 15:35:00,15.72203,15.684,5.0,-0.22155,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-02-01 23:10:00,2026-02-01 23:15:00,15.76177,15.90446,5.0,-0.74511,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-02-01 23:20:00,2026-02-01 23:45:00,16.15248,16.27126,5.0,-0.62634,stop/trail
