time,open,high,low,close,tick_volume,spread,real_volume
2026-01-13 20:39:00,60.822,60.828,60.796,60.807,49,18,0
2026-01-13 20:42:00,60.809,60.828,60.793,60.808,45,18,0
2026-01-13 20:45:00,60.807,60.807,60.725,60.784,90,18,0
2026-01-13 20:48:00,60.786,60.822,60.765,60.767,68,18,0
2026-01-13 20:51:00,60.775,60.802,60.762,60.772,75,18,0
2026-01-13 20:54:00,60.771,60.818,60.75,60.805,67,18,0
2026-01-13 20:57:00,60.807,60.836,60.792,60.826,68,18,0
2026-01-13 21:00:00,60.831,60.833,60.759,60.767,60,18,0
2026-01-13 21:03:00,60.761,60.841,60.761,60.816,52,18,0
2026-01-13 21:06:00,60.818,60.872,60.797,60.867,45,18,0
2026-01-13 21:09:00,60.864,60.921,60.835,60.897,68,18,0
2026-01-13 21:12:00,60.893,60.899,60.854,60.854,50,18,0
2026-01-13 21:15:00,60.859,60.867,60.801,60.82,68,18,0
2026-01-13 21:18:00,60.821,60.853,60.821,60.848,45,18,0
2026-01-13 21:21:00,60.85,60.881,60.846,60.878,42,18,0
2026-01-13 21:24:00,60.88,60.887,60.823,60.855,61,18,0
2026-01-13 21:27:00,60.857,60.865,60.839,60.848,38,18,0
2026-01-13 21:30:00,60.845,60.865,60.753,60.839,82,18,0
2026-01-13 21:33:00,60.839,60.844,60.806,60.835,48,18,0
2026-01-13 21:36:00,60.836,60.845,60.806,60.831,48,18,0
2026-01-13 21:39:00,60.829,60.859,60.807,60.824,49,18,0
2026-01-13 21:42:00,60.825,60.864,60.823,60.853,37,18,0
2026-01-13 21:45:00,60.851,60.857,60.822,60.854,28,18,0
2026-01-13 21:48:00,60.848,60.97,60.824,60.936,61,18,0
2026-01-13 21:51:00,60.932,60.938,60.866,60.893,30,18,0
2026-01-13 21:54:00,60.895,60.905,60.839,60.839,35,18,0
2026-01-13 21:57:00,60.842,60.89,60.839,60.883,35,18,0
2026-01-13 23:00:00,60.916,60.927,60.88,60.918,31,18,0
2026-01-13 23:03:00,60.913,60.92,60.873,60.881,28,18,0
2026-01-13 23:06:00,60.878,60.907,60.866,60.881,24,18,0
2026-01-13 23:09:00,60.884,60.884,60.842,60.842,18,18,0
2026-01-13 23:12:00,60.85,60.85,60.825,60.833,21,18,0
2026-01-13 23:15:00,60.836,60.85,60.832,60.844,16,18,0
2026-01-13 23:18:00,60.843,60.854,60.843,60.854,5,18,0
2026-01-13 23:21:00,60.852,60.857,60.852,60.852,6,18,0
2026-01-13 23:24:00,60.856,60.906,60.856,60.882,19,18,0
2026-01-13 23:27:00,60.887,60.915,60.883,60.915,14,18,0
2026-01-13 23:30:00,60.914,60.943,60.911,60.938,14,18,0
2026-01-13 23:33:00,60.929,60.941,60.889,60.92,32,18,0
2026-01-13 23:36:00,60.927,60.937,60.911,60.911,17,18,0
2026-01-13 23:39:00,60.907,60.931,60.889,60.931,14,18,0
2026-01-13 23:42:00,60.931,60.932,60.912,60.918,13,18,0
2026-01-13 23:45:00,60.914,60.919,60.882,60.897,10,18,0
2026-01-13 23:48:00,60.895,60.901,60.882,60.887,11,18,0
2026-01-13 23:51:00,60.885,60.899,60.883,60.892,10,18,0
2026-01-13 23:54:00,60.893,60.895,60.875,60.876,9,18,0
2026-01-13 23:57:00,60.879,60.919,60.878,60.9,16,18,0
2026-01-14 00:00:00,60.894,60.894,60.826,60.852,29,18,0
2026-01-14 00:03:00,60.854,60.871,60.844,60.855,23,18,0
2026-01-14 00:06:00,60.856,60.865,60.856,60.859,14,18,0
2026-01-14 00:09:00,60.857,60.873,60.84,60.873,29,18,0
2026-01-14 00:12:00,60.866,60.872,60.858,60.866,9,18,0
2026-01-14 00:15:00,60.865,60.869,60.86,60.866,13,18,0
2026-01-14 00:18:00,60.878,60.882,60.852,60.856,10,18,0
2026-01-14 00:21:00,60.864,60.864,60.831,60.836,11,18,0
2026-01-14 00:24:00,60.841,60.849,60.841,60.847,8,18,0
2026-01-14 00:27:00,60.85,60.85,60.809,60.809,12,18,0
2026-01-14 00:30:00,60.815,60.845,60.815,60.831,18,18,0
2026-01-14 00:33:00,60.827,60.827,60.803,60.814,20,18,0
2026-01-14 00:36:00,60.811,60.833,60.806,60.824,22,18,0
2026-01-14 00:39:00,60.821,60.846,60.82,60.833,19,18,0
2026-01-14 00:42:00,60.836,60.836,60.815,60.818,9,18,0
2026-01-14 00:45:00,60.816,60.828,60.808,60.825,21,18,0
2026-01-14 00:48:00,60.827,60.829,60.824,60.827,5,18,0
2026-01-14 00:51:00,60.824,60.832,60.824,60.826,5,18,0
2026-01-14 00:54:00,60.821,60.828,60.817,60.817,13,18,0
