time,open,high,low,close,volume
2026-03-24 14:30:00,69968.98,70104.65,69929.38,70101.8,658
2026-03-24 14:35:00,70104.37,70104.37,69796.2,69796.2,798
2026-03-24 14:40:00,69792.83,69871.84,69726.2,69820.94,697
2026-03-24 14:45:00,69821.16,69828.26,69556.76,69594.96,1131
2026-03-24 14:50:00,69581.28,70028.65,69465.7,69859.91,1782
2026-03-24 14:55:00,69862.22,70017.54,69662.69,69843.38,1198
2026-03-24 15:00:00,69845.28,70024.85,69839.29,69946.64,1203
2026-03-24 15:05:00,69944.15,70030.06,69883.87,69939.61,835
2026-03-24 15:10:00,69938.76,70007.06,69810.14,69921.6,739
2026-03-24 15:15:00,69920.25,69999.16,69872.49,69927.69,666
2026-03-24 15:20:00,69928.52,70243.86,69882.53,70167.09,774
2026-03-24 15:25:00,70164.68,70219.93,69976.05,70004.99,568
2026-03-24 15:30:00,70007.71,70047.26,69735.09,69880.82,670
2026-03-24 15:35:00,69881.95,70141.13,69871.65,70059.47,600
2026-03-24 15:40:00,70061.82,70131.01,69971.45,70026.12,441
2026-03-24 15:45:00,70023.36,70042.75,69918.67,70032.51,426
2026-03-24 15:50:00,70027.19,70167.82,70017.79,70062.45,434
2026-03-24 15:55:00,70064.81,70064.81,69826.38,69835.67,537
2026-03-24 16:00:00,69833.7,69859.99,69769.62,69805.65,523
2026-03-24 16:05:00,69807.5,69880.93,69756.88,69850.86,462
2026-03-24 16:10:00,69851.48,69916.78,69821.61,69874.21,437
2026-03-24 16:15:00,69882.65,69983.99,69826.37,69925.11,403
2026-03-24 16:20:00,69923.01,69940.98,69803.91,69813.34,437
2026-03-24 16:25:00,69810.37,69851.6,69607.08,69772.91,537
2026-03-24 16:30:00,69774.36,69817.03,69605.4,69693.37,506
2026-03-24 16:35:00,69688.06,69708.21,69279.1,69382.94,843
2026-03-24 16:40:00,69382.23,69541.1,69333.51,69540.76,639
2026-03-24 16:45:00,69542.12,69601.52,69451.88,69477.63,493
2026-03-24 16:50:00,69473.27,69586.86,69468.01,69489.49,375
2026-03-24 16:55:00,69489.1,69510.12,69381.74,69451.24,397
2026-03-24 17:00:00,69454.27,69489.94,69244.31,69284.11,543
2026-03-24 17:05:00,69283.5,69283.5,69083.46,69127.87,1301
2026-03-24 17:10:00,69130.48,69231.61,69096.74,69193.3,583
2026-03-24 17:15:00,69196.29,69261.84,69068.99,69091.0,601
2026-03-24 17:20:00,69093.5,69198.7,69078.59,69170.01,497
